date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:41	38864/38864	---M--	200	added ('OK')	font/woff	date:Tue,%2016%20May%202023%2003:00:52%20GMT	https://ashaychangwani.com/public/6a6f588a09b12435164b3000ddef9492.woff	/Users/mohanraj/Documents/Tutorials/Projects/Portfolio%20/Portfolio1/ashaychangwani.com/public/6a6f588a09b12435164b3000ddef9492.woff	(from https://ashaychangwani.com/public/styles.css)
18:34:42	31164/31164	---M--	200	added ('OK')	font/woff2	date:Tue,%2016%20May%202023%2003:00:52%20GMT	https://ashaychangwani.com/public/ac1dbc3a2cc16a39ee69152e60e7d608.woff2	/Users/mohanraj/Documents/Tutorials/Projects/Portfolio%20/Portfolio1/ashaychangwani.com/public/ac1dbc3a2cc16a39ee69152e60e7d608.woff2	(from https://ashaychangwani.com/public/styles.css)
18:34:43	39052/39052	---M--	200	added ('OK')	font/woff	date:Tue,%2016%20May%202023%2003:00:51%20GMT	https://ashaychangwani.com/public/3807be14386a6352ed314e8c6834b2c3.woff	/Users/mohanraj/Documents/Tutorials/Projects/Portfolio%20/Portfolio1/ashaychangwani.com/public/3807be14386a6352ed314e8c6834b2c3.woff	(from https://ashaychangwani.com/public/styles.css)
18:34:44	31596/31596	---M--	200	added ('OK')	font/woff2	date:Tue,%2016%20May%202023%2003:00:52%20GMT	https://ashaychangwani.com/public/4c25ad540087c6c91e1a512489228e10.woff2	/Users/mohanraj/Documents/Tutorials/Projects/Portfolio%20/Portfolio1/ashaychangwani.com/public/4c25ad540087c6c91e1a512489228e10.woff2	(from https://ashaychangwani.com/public/styles.css)
18:34:45	39420/39420	---M--	200	added ('OK')	font/woff	date:Tue,%2016%20May%202023%2003:00:52%20GMT	https://ashaychangwani.com/public/c47c98b0c378fb434f6a083c2fc54ca7.woff	/Users/mohanraj/Documents/Tutorials/Projects/Portfolio%20/Portfolio1/ashaychangwani.com/public/c47c98b0c378fb434f6a083c2fc54ca7.woff	(from https://ashaychangwani.com/public/styles.css)
18:34:47	14016215/14016215	---M--	200	added ('OK')	image/gif	date:Tue,%2016%20May%202023%2002:58:44%20GMT	https://ashaychangwani.com/images/eyetracker.gif	/Users/mohanraj/Documents/Tutorials/Projects/Portfolio%20/Portfolio1/ashaychangwani.com/images/eyetracker.gif	(from https://ashaychangwani.com/)
18:34:48	117846/117846	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20May%202023%2003:00:52%20GMT	https://ashaychangwani.com/public/467c747748142f13a35db560c3c27a2f.jpg	/Users/mohanraj/Documents/Tutorials/Projects/Portfolio%20/Portfolio1/ashaychangwani.com/public/467c747748142f13a35db560c3c27a2f.jpg	(from https://ashaychangwani.com/public/styles.css)
18:34:48	4183501/4183501	---M--	200	added ('OK')	image/gif	date:Tue,%2016%20May%202023%2002:57:51%20GMT	https://ashaychangwani.com/images/fallback/whyte-d.gif	/Users/mohanraj/Documents/Tutorials/Projects/Portfolio%20/Portfolio1/ashaychangwani.com/images/fallback/whyte-d.gif	(from https://ashaychangwani.com/public/styles.css)
18:34:48	343/343	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2016%20May%202023%2003:00:52%20GMT	https://ashaychangwani.com/public/547e1ceaee74b8b69458f44bef600f22.svg	/Users/mohanraj/Documents/Tutorials/Projects/Portfolio%20/Portfolio1/ashaychangwani.com/public/547e1ceaee74b8b69458f44bef600f22.svg	(from https://ashaychangwani.com/public/styles.css)
18:34:49	371/371	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2016%20May%202023%2003:00:52%20GMT	https://ashaychangwani.com/public/deadfeb192dd6edf1664ab4c4f027496.svg	/Users/mohanraj/Documents/Tutorials/Projects/Portfolio%20/Portfolio1/ashaychangwani.com/public/deadfeb192dd6edf1664ab4c4f027496.svg	(from https://ashaychangwani.com/public/styles.css)
18:34:50	1035/1035	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2016%20May%202023%2003:00:52%20GMT	https://ashaychangwani.com/public/01d20d3de8099c475ce7186c6d779775.svg	/Users/mohanraj/Documents/Tutorials/Projects/Portfolio%20/Portfolio1/ashaychangwani.com/public/01d20d3de8099c475ce7186c6d779775.svg	(from https://ashaychangwani.com/public/styles.css)
18:34:51	1126/1126	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2016%20May%202023%2003:00:52%20GMT	https://ashaychangwani.com/public/0a08278b1f076ca2e18fcd705ee6d122.svg	/Users/mohanraj/Documents/Tutorials/Projects/Portfolio%20/Portfolio1/ashaychangwani.com/public/0a08278b1f076ca2e18fcd705ee6d122.svg	(from https://ashaychangwani.com/public/styles.css)
18:34:52	13106593/13106593	---M--	200	added ('OK')	image/gif	date:Tue,%2016%20May%202023%2002:59:48%20GMT	https://ashaychangwani.com/images/snake.gif	/Users/mohanraj/Documents/Tutorials/Projects/Portfolio%20/Portfolio1/ashaychangwani.com/images/snake.gif	(from https://ashaychangwani.com/)
